[DEBUG] 2019-10-17 12:06:40.261 [http-nio-8080-exec-2] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-10-17 12:06:40.268 [http-nio-8080-exec-2] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-10-17 12:06:40.280 [http-nio-8080-exec-2] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-10-17 12:06:40.557 [http-nio-8080-exec-2] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-10-17 12:06:40.562 [http-nio-8080-exec-2] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-10-17 12:06:40.984 [http-nio-8080-exec-2] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-10-17 12:06:40.985 [http-nio-8080-exec-2] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-10-17 12:06:41.027 [http-nio-8080-exec-2] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-10-17 12:06:41.802 [http-nio-8080-exec-2] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-10-17 12:06:41.867 [http-nio-8080-exec-2] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-10-17 12:06:41.870 [http-nio-8080-exec-2] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-10-17 12:06:41.931 [http-nio-8080-exec-2] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-10-17 12:06:42.036 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5ba5a79e
[DEBUG] 2019-10-17 12:06:42.036 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5ba5a79e
[DEBUG] 2019-10-17 12:06:42.036 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@5ba5a79e
[DEBUG] 2019-10-17 12:06:42.038 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5a5509ec
[DEBUG] 2019-10-17 12:06:42.039 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@380919fb
[DEBUG] 2019-10-17 12:06:42.040 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@b40044e
[DEBUG] 2019-10-17 12:06:42.043 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@206a81d
[DEBUG] 2019-10-17 12:06:42.043 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@206a81d
[DEBUG] 2019-10-17 12:06:42.043 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@206a81d
[DEBUG] 2019-10-17 12:06:42.046 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@350c7d72
[DEBUG] 2019-10-17 12:06:42.046 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@350c7d72
[DEBUG] 2019-10-17 12:06:42.046 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@350c7d72
[DEBUG] 2019-10-17 12:06:42.048 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@13b1cb67
[DEBUG] 2019-10-17 12:06:42.049 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@13b1cb67
[DEBUG] 2019-10-17 12:06:42.049 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@13b1cb67
[DEBUG] 2019-10-17 12:06:42.052 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@65128aa5
[DEBUG] 2019-10-17 12:06:42.052 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@65128aa5
[DEBUG] 2019-10-17 12:06:42.052 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@65128aa5
[DEBUG] 2019-10-17 12:06:42.055 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@3f6b2a92
[DEBUG] 2019-10-17 12:06:42.055 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@3f6b2a92
[DEBUG] 2019-10-17 12:06:42.055 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@3f6b2a92
[DEBUG] 2019-10-17 12:06:42.058 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@58034dda
[DEBUG] 2019-10-17 12:06:42.058 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@58034dda
[DEBUG] 2019-10-17 12:06:42.058 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@58034dda
[DEBUG] 2019-10-17 12:06:42.060 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@72b6b8ba
[DEBUG] 2019-10-17 12:06:42.061 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@72b6b8ba
[DEBUG] 2019-10-17 12:06:42.061 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@72b6b8ba
[DEBUG] 2019-10-17 12:06:42.063 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@7c0e630e
[DEBUG] 2019-10-17 12:06:42.063 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@7c0e630e
[DEBUG] 2019-10-17 12:06:42.066 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@22308095
[DEBUG] 2019-10-17 12:06:42.066 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@22308095
[DEBUG] 2019-10-17 12:06:42.069 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@665e9619
[DEBUG] 2019-10-17 12:06:42.069 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@665e9619
[DEBUG] 2019-10-17 12:06:42.071 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@ac19c92
[DEBUG] 2019-10-17 12:06:42.072 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@59aaa88b
[DEBUG] 2019-10-17 12:06:42.075 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@6e26a10e
[DEBUG] 2019-10-17 12:06:42.075 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@6e26a10e
[DEBUG] 2019-10-17 12:06:42.077 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@8eee561
[DEBUG] 2019-10-17 12:06:42.078 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@8eee561
[DEBUG] 2019-10-17 12:06:42.089 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@132263f8
[DEBUG] 2019-10-17 12:06:42.089 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@132263f8
[DEBUG] 2019-10-17 12:06:42.092 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@3d7ff46c
[DEBUG] 2019-10-17 12:06:42.092 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@3d7ff46c
[DEBUG] 2019-10-17 12:06:42.095 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@50c96cd1
[DEBUG] 2019-10-17 12:06:42.095 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@50c96cd1
[DEBUG] 2019-10-17 12:06:42.097 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@12f8bf5a
[DEBUG] 2019-10-17 12:06:42.098 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@12f8bf5a
[DEBUG] 2019-10-17 12:06:42.101 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@3f19bea5
[DEBUG] 2019-10-17 12:06:42.101 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@3f19bea5
[DEBUG] 2019-10-17 12:06:42.105 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@75bb7d98
[DEBUG] 2019-10-17 12:06:42.105 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@75bb7d98
[DEBUG] 2019-10-17 12:06:42.109 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6058e56b
[DEBUG] 2019-10-17 12:06:42.110 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6058e56b
[DEBUG] 2019-10-17 12:06:42.113 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@b00015b
[DEBUG] 2019-10-17 12:06:42.113 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@b00015b
[DEBUG] 2019-10-17 12:06:42.115 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@24ddf5bd
[DEBUG] 2019-10-17 12:06:42.116 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@24ddf5bd
[DEBUG] 2019-10-17 12:06:42.119 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@676b032c
[DEBUG] 2019-10-17 12:06:42.119 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@676b032c
[DEBUG] 2019-10-17 12:06:42.119 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@676b032c
[DEBUG] 2019-10-17 12:06:42.122 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@1b9ed305
[DEBUG] 2019-10-17 12:06:42.124 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@3713376a
[DEBUG] 2019-10-17 12:06:42.124 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@3713376a
[DEBUG] 2019-10-17 12:06:42.125 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@3713376a
[DEBUG] 2019-10-17 12:06:42.126 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@564b2058
[DEBUG] 2019-10-17 12:06:42.128 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@1fcdbce2
[DEBUG] 2019-10-17 12:06:42.128 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@1fcdbce2
[DEBUG] 2019-10-17 12:06:42.131 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@5629a6fe
[DEBUG] 2019-10-17 12:06:42.131 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@5629a6fe
[DEBUG] 2019-10-17 12:06:42.134 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@7f0f8ff4
[DEBUG] 2019-10-17 12:06:42.134 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@7f0f8ff4
[DEBUG] 2019-10-17 12:06:42.137 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@787e5fd9
[DEBUG] 2019-10-17 12:06:42.137 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@787e5fd9
[DEBUG] 2019-10-17 12:06:42.139 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@40fed4c2
[DEBUG] 2019-10-17 12:06:42.139 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@40fed4c2
[DEBUG] 2019-10-17 12:06:42.140 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@34d959ff
[DEBUG] 2019-10-17 12:06:42.143 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@8426f3b
[DEBUG] 2019-10-17 12:06:42.143 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@8426f3b
[DEBUG] 2019-10-17 12:06:42.143 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@8426f3b
[DEBUG] 2019-10-17 12:06:42.146 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@1b206834
[DEBUG] 2019-10-17 12:06:42.146 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@1b206834
[DEBUG] 2019-10-17 12:06:42.146 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@1b206834
[DEBUG] 2019-10-17 12:06:42.148 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@45826b3c
[DEBUG] 2019-10-17 12:06:42.150 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@696dbf6f
[DEBUG] 2019-10-17 12:06:42.153 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@6f1f27dc
[DEBUG] 2019-10-17 12:06:42.154 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@6f1f27dc
[DEBUG] 2019-10-17 12:06:42.154 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@6f1f27dc
[DEBUG] 2019-10-17 12:06:42.156 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@56c0cd8f
[DEBUG] 2019-10-17 12:06:42.156 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@56c0cd8f
[DEBUG] 2019-10-17 12:06:42.157 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@56c0cd8f
[DEBUG] 2019-10-17 12:06:42.158 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@5a26ee7f
[DEBUG] 2019-10-17 12:06:42.160 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@71aa91bb
[DEBUG] 2019-10-17 12:06:42.164 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@5c40bb34
[DEBUG] 2019-10-17 12:06:42.165 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@5c40bb34
[DEBUG] 2019-10-17 12:06:42.166 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@39fb1865
[DEBUG] 2019-10-17 12:06:42.170 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@64e268e9
[DEBUG] 2019-10-17 12:06:42.170 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@64e268e9
[DEBUG] 2019-10-17 12:06:42.174 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@2366e130
[DEBUG] 2019-10-17 12:06:42.174 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@2366e130
[DEBUG] 2019-10-17 12:06:42.175 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@308a791c
[DEBUG] 2019-10-17 12:06:42.176 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@68f706c4
[DEBUG] 2019-10-17 12:06:42.180 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@10c671a7
[DEBUG] 2019-10-17 12:06:42.189 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@900cebe
[DEBUG] 2019-10-17 12:06:42.189 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@900cebe
[DEBUG] 2019-10-17 12:06:42.190 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@56e6e343
[DEBUG] 2019-10-17 12:06:42.190 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@47390ecf
[DEBUG] 2019-10-17 12:06:42.190 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@b71e26e
[DEBUG] 2019-10-17 12:06:42.190 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@37ced353
[DEBUG] 2019-10-17 12:06:42.191 [http-nio-8080-exec-2] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@5653d212
